customer_id,signup_date,city,customer_segment
55,2024-05-08,Pune,New
56,2025-11-12,Bengaluru,Regular
57,2024-04-26,Bengaluru,Premium
58,2024-06-22,Mumbai,New
59,2025-11-03,Delhi,Regular
60,2025-01-05,Bengaluru,Regular
61,2025-05-26,Mumbai,Regular
62,2024-03-13,Bengaluru,Regular
63,2025-02-10,Bengaluru,Regular
64,2025-08-20,Bengaluru,New
65,2025-09-17,Mumbai,Regular
66,2024-02-22,Bengaluru,New
67,2024-12-31,Pune,Regular
68,2025-07-28,Pune,Premium
69,2024-05-10,Bengaluru,Regular
70,2025-05-02,Delhi,Regular
71,2024-11-21,Pune,Regular
72,2025-06-16,Delhi,Regular
73,2024-05-25,Mumbai,New
74,2024-05-19,Bengaluru,Regular
75,2025-02-28,Hyderabad,Regular
76,2025-07-18,Bengaluru,Regular
77,2024-03-23,Bengaluru,Regular
78,2024-11-08,Hyderabad,New
79,2024-10-12,Hyderabad,Regular
80,2025-07-24,Pune,Premium
81,2024-06-12,Pune,Premium
82,2024-10-16,Hyderabad,Regular
83,2025-10-26,Mumbai,Premium
84,2025-08-06,Hyderabad,Regular
85,2024-03-15,Mumbai,Regular
86,2025-05-17,Delhi,Regular
87,2024-11-07,Pune,Regular
88,2024-06-07,Mumbai,Premium
89,2025-04-20,Bengaluru,Premium
90,2024-01-23,Delhi,Regular
91,2025-02-03,Mumbai,Regular
92,2025-10-08,Bengaluru,New
93,2024-10-01,Bengaluru,Premium
94,2024-10-03,Mumbai,Premium
95,2025-04-14,Delhi,New
96,2024-11-22,Pune,Regular
97,2024-08-14,Pune,Premium
98,2025-06-16,Delhi,Premium
99,2024-01-13,Delhi,Regular
100,2025-05-20,Bengaluru,Premium
101,2025-06-20,Pune,Regular
102,2024-07-15,Mumbai,Premium
103,2025-03-23,Mumbai,Regular
104,2024-12-27,Hyderabad,Premium
105,2025-07-17,Bengaluru,Premium
106,2024-04-18,Mumbai,Regular
107,2024-11-01,Hyderabad,Regular
108,2025-01-03,Delhi,Regular
109,2025-06-26,Bengaluru,Regular
110,2024-02-28,Pune,New
111,2025-02-11,Bengaluru,New
112,2024-04-28,Delhi,Regular
113,2025-05-24,Bengaluru,New
114,2025-03-04,Pune,Regular
115,2024-10-31,Hyderabad,Regular
116,2024-09-13,Mumbai,New
117,2024-06-04,Delhi,Regular
118,2025-10-20,Hyderabad,New
119,2024-11-04,Mumbai,New
120,2024-09-26,Bengaluru,Regular
121,2024-03-03,Pune,Premium
122,2025-10-26,Bengaluru,Regular
123,2025-06-26,Pune,Regular
124,2024-04-17,Pune,Regular
125,2024-01-04,Bengaluru,Premium
126,2025-01-09,Mumbai,New
127,2025-05-06,Hyderabad,Premium
128,2025-05-28,Bengaluru,Premium
129,2024-01-02,Pune,Regular
130,2025-01-04,Pune,Regular
131,2025-09-01,Mumbai,Premium
132,2025-09-12,Hyderabad,Regular
133,2024-06-24,Bengaluru,Regular
134,2025-06-02,Hyderabad,Premium
135,2024-02-13,Mumbai,Regular
136,2025-09-03,Mumbai,Regular
137,2025-06-08,Delhi,Regular
138,2025-10-27,Mumbai,Regular
139,2024-03-05,Hyderabad,Regular
140,2025-10-14,Hyderabad,New
141,2025-06-19,Delhi,Regular
142,2025-08-24,Bengaluru,Premium
143,2025-09-06,Delhi,Regular
144,2024-03-16,Delhi,Regular
145,2024-04-05,Mumbai,Regular
146,2024-08-11,Delhi,Regular
147,2025-09-15,Pune,Premium
148,2024-08-27,Bengaluru,New
149,2025-07-14,Delhi,Regular
150,2024-10-05,Hyderabad,Regular
151,2024-11-23,Hyderabad,New
152,2024-01-02,Bengaluru,Regular
153,2024-04-22,Hyderabad,Premium
154,2024-01-31,Bengaluru,Regular
155,2025-06-05,Mumbai,Regular
156,2024-07-05,Mumbai,Premium
157,2024-03-31,Delhi,Premium
158,2024-10-24,Pune,Regular
159,2024-05-06,Mumbai,Premium
160,2024-02-09,Hyderabad,New
161,2025-11-26,Pune,Premium
162,2024-06-12,Delhi,New
163,2025-09-16,Hyderabad,New
164,2024-10-08,Pune,New
165,2024-10-28,Pune,Regular
166,2024-12-04,Delhi,Regular
167,2024-08-10,Delhi,Regular
168,2024-11-12,Delhi,Premium
169,2024-07-18,Hyderabad,New
170,2025-03-21,Mumbai,Regular
171,2025-09-24,Mumbai,Regular
172,2024-12-30,Bengaluru,New
173,2025-11-27,Mumbai,Regular
174,2024-02-12,Bengaluru,Regular
175,2025-08-10,Bengaluru,New
176,2025-08-19,Mumbai,New
177,2025-06-09,Bengaluru,Regular
178,2024-04-12,Bengaluru,Premium
179,2024-02-02,Hyderabad,New
180,2024-02-02,Hyderabad,Regular
181,2025-06-01,Hyderabad,Regular
182,2025-03-12,Mumbai,New
183,2025-09-22,Pune,Regular
184,2024-07-04,Pune,Regular
185,2024-03-22,Mumbai,Regular
186,2025-08-28,Mumbai,Regular
187,2024-11-26,Bengaluru,Regular
188,2025-05-09,Hyderabad,Regular
189,2025-01-03,Delhi,Regular
190,2024-06-09,Pune,Regular
191,2024-05-11,Bengaluru,Regular
192,2025-11-09,Delhi,New
193,2024-08-16,Hyderabad,Regular
194,2025-06-04,Mumbai,New
195,2024-06-06,Delhi,Regular
196,2024-06-19,Hyderabad,Regular
197,2025-07-20,Pune,Premium
198,2025-04-17,Delhi,Regular
199,2024-02-22,Delhi,New
200,2024-12-25,Pune,New
201,2024-03-17,Delhi,Regular
202,2025-06-22,Pune,Regular
203,2024-01-24,Delhi,Premium
204,2024-05-04,Delhi,Regular
205,2025-02-11,Delhi,Regular
206,2024-06-11,Bengaluru,Regular
207,2025-02-16,Bengaluru,Regular
208,2025-06-16,Mumbai,New
209,2025-07-29,Pune,Regular
210,2025-05-18,Pune,New
211,2025-10-27,Mumbai,Regular
212,2025-03-29,Hyderabad,New
213,2025-03-24,Mumbai,Regular
214,2025-10-06,Pune,Regular
215,2024-05-18,Hyderabad,New
216,2024-01-04,Hyderabad,New
217,2025-03-15,Hyderabad,New
218,2024-12-05,Bengaluru,Regular
219,2025-07-01,Delhi,Regular
220,2024-08-02,Bengaluru,Regular
221,2024-04-23,Hyderabad,Regular
222,2024-09-21,Hyderabad,Premium
223,2024-09-26,Bengaluru,Regular
224,2024-04-16,Delhi,Regular
225,2025-11-08,Delhi,Premium
226,2025-10-25,Pune,Regular
227,2024-08-20,Bengaluru,Regular
228,2024-07-14,Hyderabad,New
229,2025-02-16,Pune,Regular
230,2024-06-26,Pune,New
231,2024-02-21,Mumbai,Premium
232,2025-10-31,Bengaluru,Regular
233,2024-09-17,Hyderabad,Regular
234,2024-10-27,Bengaluru,Regular
235,2024-11-22,Mumbai,Regular
236,2024-05-07,Mumbai,Premium
237,2025-08-10,Mumbai,Regular
238,2024-05-11,Mumbai,Regular
239,2025-07-31,Mumbai,Regular
240,2024-08-18,Bengaluru,Regular
241,2025-01-20,Hyderabad,New
242,2025-04-25,Bengaluru,Premium
243,2025-11-23,Bengaluru,Premium
244,2024-05-28,Hyderabad,Premium
245,2025-07-19,Bengaluru,New
246,2024-09-08,Delhi,Premium
247,2025-09-11,Delhi,Regular
248,2025-04-30,Delhi,Regular
249,2025-07-30,Mumbai,Regular
250,2024-12-08,Bengaluru,New
251,2024-08-15,Pune,Regular
252,2024-07-21,Pune,Regular
253,2024-05-21,Delhi,New
254,2025-02-02,Bengaluru,Regular
255,2024-01-09,Bengaluru,New
256,2024-10-23,Bengaluru,Regular
257,2025-08-18,Delhi,Premium
258,2025-06-07,Delhi,Premium
259,2024-01-08,Hyderabad,Premium
260,2024-07-05,Delhi,Premium
261,2025-04-18,Pune,Regular
262,2025-10-02,Hyderabad,Regular
263,2024-04-05,Bengaluru,Regular
264,2024-08-15,Pune,Premium
265,2025-04-18,Hyderabad,Regular
266,2024-05-26,Mumbai,New
267,2024-01-14,Hyderabad,Premium
268,2024-05-21,Bengaluru,Regular
269,2024-07-19,Pune,New
270,2024-01-08,Mumbai,Premium
271,2025-08-02,Mumbai,New
272,2024-05-19,Mumbai,New
273,2024-03-03,Delhi,Regular
274,2025-05-07,Hyderabad,Regular
275,2025-09-01,Mumbai,Regular
276,2025-04-28,Bengaluru,New
277,2024-06-23,Pune,Premium
278,2025-06-22,Pune,Regular
279,2025-02-08,Delhi,Regular
280,2024-11-05,Pune,Premium
281,2024-07-17,Mumbai,Regular
282,2025-11-14,Delhi,Regular
283,2025-02-09,Delhi,New
284,2024-07-06,Bengaluru,New
285,2024-01-14,Bengaluru,Premium
286,2025-06-18,Delhi,New
287,2025-09-10,Delhi,Regular
288,2025-06-02,Delhi,Regular
289,2025-08-20,Mumbai,Regular
290,2024-02-12,Mumbai,Regular
291,2024-09-26,Hyderabad,New
292,2025-08-21,Hyderabad,Regular
293,2025-04-21,Mumbai,Regular
294,2024-04-01,Hyderabad,Regular
295,2024-04-23,Bengaluru,Regular
296,2025-07-13,Hyderabad,New
297,2024-02-27,Pune,Premium
298,2024-05-31,Delhi,New
299,2024-08-21,Delhi,New
300,2024-07-26,Delhi,New
