order_id,customer_id,restaurant_id,order_date,gross_order_value,coupon_id,discount_amount,net_order_value,delivery_fee,food_cost,order_status,payment_method,estimated_zomato_revenue,estimated_profit
45.00,159,18,2025-05-05,778.48,,0.00,778.48,25.00,469.42,Delivered,Card,165.13,133.13
46.00,19,1,2025-05-03,478.10,,0.00,478.10,25.00,280.06,Delivered,Card,130.18,98.18
47.00,222,27,2025-01-23,876.18,,0.00,876.18,45.00,487.25,Delivered,Card,237.76,205.76
48.00,1,29,2025-09-15,840.67,,0.00,840.67,0.00,454.55,Delivered,UPI,184.95,152.95
49.00,157,23,2025-03-20,811.98,,0.00,811.98,45.00,424.75,Delivered,Cash,191.16,159.16
50.00,118,27,2025-03-17,524.25,,0.00,524.25,45.00,283.48,Delivered,Wallet,160.33,128.33
51.00,274,16,2025-11-11,908.71,7,241.34,667.37,55.00,578.15,Delivered,Cash,236.74,-36.60
52.00,114,10,2025-04-05,798.77,,0.00,798.77,55.00,422.90,Delivered,Cash,198.78,166.78
53.00,133,30,2025-07-19,704.65,,0.00,704.65,55.00,420.59,Delivered,Card,195.93,163.93
54.00,242,14,2025-01-12,889.82,,0.00,889.82,0.00,558.93,Delivered,Card,222.46,190.46
55.00,172,5,2025-10-26,638.62,,0.00,638.62,45.00,341.79,Delivered,Cash,172.72,140.72
56.00,183,19,2025-06-16,412.86,,0.00,412.86,25.00,226.08,Cancelled,Card,0.00,0.00
57.00,145,28,2025-05-12,234.89,,0.00,234.89,35.00,135.11,Delivered,Cash,93.72,61.72
58.00,294,7,2025-04-10,1153.29,,0.00,1153.29,35.00,620.91,Cancelled,Cash,0.00,0.00
59.00,55,2,2025-10-18,1081.62,6,75.00,1006.62,45.00,579.03,Delivered,Cash,239.69,132.69
60.00,299,25,2025-02-26,361.80,,0.00,361.80,45.00,231.42,Delivered,UPI,124.60,92.60
61.00,14,1,2025-12-02,553.16,,0.00,553.16,25.00,346.48,Delivered,Card,146.70,114.70
62.00,290,28,2025-02-13,1367.68,,0.00,1367.68,45.00,776.82,Delivered,Card,386.92,354.92
63.00,20,3,2025-06-05,371.39,,0.00,371.39,45.00,227.57,Delivered,Card,137.85,105.85
64.00,50,9,2025-03-10,355.54,,0.00,355.54,35.00,220.26,Delivered,Cash,99.00,67.00
65.00,261,26,2025-11-03,917.69,,0.00,917.69,0.00,537.07,Delivered,Card,229.42,197.42
66.00,196,30,2025-08-14,2555.77,,0.00,2555.77,0.00,1530.21,Delivered,UPI,511.15,479.15
67.00,258,7,2025-10-21,572.93,,0.00,572.93,55.00,311.44,Delivered,UPI,169.59,137.59
68.00,95,24,2025-01-27,623.79,,0.00,623.79,35.00,349.65,Delivered,Wallet,159.76,127.76
69.00,103,14,2025-01-30,301.46,,0.00,301.46,45.00,189.71,Delivered,Card,120.37,88.37
70.00,90,16,2025-08-31,392.83,,0.00,392.83,35.00,248.93,Delivered,Wallet,113.57,81.57
71.00,294,22,2025-10-26,394.08,,0.00,394.08,0.00,211.47,Delivered,Wallet,98.52,66.52
72.00,123,29,2025-11-12,383.24,,0.00,383.24,45.00,223.41,Delivered,Card,129.31,97.31
73.00,16,13,2025-05-18,270.88,,0.00,270.88,35.00,166.06,Delivered,Cash,94.59,62.59
74.00,260,21,2025-03-31,879.95,,0.00,879.95,25.00,470.94,Delivered,UPI,183.39,151.39
75.00,269,23,2025-06-06,374.88,,0.00,374.88,45.00,209.89,Delivered,Card,112.48,80.48
76.00,180,2,2025-06-23,680.77,,0.00,680.77,25.00,386.39,Delivered,Card,147.54,115.54
77.00,40,14,2025-10-23,257.75,,0.00,257.75,0.00,151.82,Delivered,Cash,64.44,32.44
78.00,202,17,2025-07-05,275.38,,0.00,275.38,25.00,157.76,Delivered,Cash,80.08,48.08
79.00,98,8,2025-02-21,479.01,,0.00,479.01,55.00,249.60,Delivered,Card,150.80,118.80
80.00,170,20,2025-09-06,1270.22,,0.00,1270.22,55.00,802.10,Delivered,UPI,309.04,277.04
81.00,79,10,2025-06-27,231.67,,0.00,231.67,55.00,140.87,Delivered,Cash,96.70,64.70
82.00,79,27,2025-04-26,435.32,,0.00,435.32,0.00,234.55,Delivered,Wallet,95.77,63.77
83.00,157,21,2025-06-10,425.53,,0.00,425.53,0.00,247.14,Delivered,Wallet,76.60,44.60
84.00,247,6,2025-10-13,292.37,,0.00,292.37,25.00,152.19,Delivered,UPI,83.47,51.47
85.00,103,5,2025-11-28,303.14,,0.00,303.14,45.00,179.02,Delivered,Wallet,105.63,73.63
86.00,101,17,2025-06-19,244.30,,0.00,244.30,35.00,135.80,Delivered,Cash,83.86,51.86
87.00,231,14,2025-12-03,421.27,,0.00,421.27,35.00,253.11,Delivered,Card,140.32,108.32
88.00,15,9,2025-05-23,458.19,,0.00,458.19,45.00,239.44,Delivered,Cash,127.47,95.47
89.00,33,26,2025-03-04,400.77,,0.00,400.77,45.00,218.15,Delivered,UPI,145.19,113.19
90.00,139,27,2025-09-03,422.53,,0.00,422.53,0.00,230.60,Delivered,Card,92.96,60.96
91.00,164,19,2025-03-05,662.30,,0.00,662.30,45.00,391.46,Delivered,Wallet,190.71,158.71
92.00,115,15,2025-05-13,233.51,,0.00,233.51,55.00,138.84,Delivered,UPI,101.70,69.70
93.00,174,26,2025-09-21,458.56,,0.00,458.56,35.00,258.52,Delivered,Card,149.64,117.64
94.00,180,21,2025-09-13,313.91,,0.00,313.91,45.00,181.99,Delivered,Card,101.50,69.50
95.00,111,17,2025-09-15,1300.36,,0.00,1300.36,25.00,826.32,Delivered,Card,285.07,253.07
96.00,62,13,2025-12-02,531.60,,0.00,531.60,45.00,315.84,Delivered,UPI,161.95,129.95
97.00,204,28,2025-07-01,338.02,,0.00,338.02,45.00,202.84,Delivered,Wallet,129.51,97.51
98.00,47,3,2025-09-07,571.34,,0.00,571.34,0.00,342.76,Delivered,Wallet,142.84,110.84
99.00,64,26,2025-05-15,428.35,,0.00,428.35,45.00,244.22,Delivered,Card,152.09,120.09
100.00,270,25,2025-07-09,461.18,,0.00,461.18,35.00,272.88,Delivered,UPI,136.46,104.46
101.00,57,17,2025-03-12,457.05,,0.00,457.05,25.00,269.40,Delivered,Card,116.41,84.41
102.00,76,8,2025-05-26,346.07,,0.00,346.07,55.00,214.32,Delivered,Card,124.21,92.21
103.00,241,12,2025-07-09,316.78,,0.00,316.78,35.00,197.35,Delivered,Card,114.20,82.20
104.00,152,23,2025-04-18,251.49,,0.00,251.49,25.00,153.38,Delivered,Cash,70.27,38.27
105.00,135,26,2025-05-20,516.76,,0.00,516.76,25.00,282.63,Delivered,Wallet,154.19,122.19
106.00,203,21,2025-06-14,818.45,,0.00,818.45,45.00,454.59,Delivered,Cash,192.32,160.32
107.00,236,16,2025-11-16,494.15,,0.00,494.15,25.00,284.60,Delivered,UPI,123.83,91.83
108.00,176,12,2025-12-14,1005.41,,0.00,1005.41,55.00,583.32,Delivered,Wallet,306.35,274.35
109.00,242,18,2025-09-17,886.78,,0.00,886.78,25.00,541.60,Delivered,UPI,184.62,152.62
110.00,272,24,2025-04-12,1480.20,,0.00,1480.20,55.00,781.85,Delivered,Wallet,351.04,319.04
111.00,268,29,2025-10-14,537.75,,0.00,537.75,0.00,293.42,Delivered,Cash,118.31,86.31
112.00,73,10,2025-11-14,321.30,,0.00,321.30,45.00,202.70,Delivered,Cash,102.83,70.83
113.00,263,27,2025-09-22,381.22,,0.00,381.22,35.00,219.57,Delivered,Card,118.87,86.87
114.00,55,25,2025-09-13,421.01,,0.00,421.01,55.00,258.67,Delivered,Wallet,147.62,115.62
115.00,35,26,2025-06-25,272.07,4,35.00,237.07,0.00,153.11,Delivered,UPI,68.02,1.02
116.00,247,27,2025-05-13,400.44,,0.00,400.44,45.00,234.01,Delivered,Card,133.10,101.10
117.00,257,23,2025-09-07,450.11,,0.00,450.11,45.00,261.73,Delivered,UPI,126.02,94.02
118.00,282,22,2025-02-20,496.40,,0.00,496.40,45.00,300.83,Delivered,Wallet,169.10,137.10
119.00,27,4,2025-01-31,562.34,,0.00,562.34,45.00,330.66,Delivered,Card,146.22,114.22
120.00,290,15,2025-05-02,868.89,3,120.00,748.89,25.00,495.28,Delivered,Cash,198.78,46.78
121.00,275,3,2025-04-17,490.77,,0.00,490.77,45.00,271.65,Delivered,Wallet,167.69,135.69
122.00,15,25,2025-01-19,299.83,,0.00,299.83,45.00,172.79,Delivered,UPI,110.96,78.96
123.00,291,4,2025-04-22,321.61,,0.00,321.61,35.00,167.44,Delivered,Cash,92.89,60.89
124.00,165,16,2025-11-24,419.07,,0.00,419.07,35.00,250.06,Delivered,Wallet,118.81,86.81
125.00,29,21,2025-07-19,289.06,,0.00,289.06,35.00,170.41,Delivered,Card,87.03,55.03
126.00,186,23,2025-06-09,344.96,,0.00,344.96,0.00,183.15,Delivered,Wallet,62.09,30.09
127.00,219,21,2025-10-19,394.33,,0.00,394.33,25.00,211.06,Delivered,Cash,95.98,63.98
128.00,252,25,2025-08-02,555.78,,0.00,555.78,0.00,345.96,Delivered,Wallet,122.27,90.27
129.00,120,27,2025-07-20,233.60,,0.00,233.60,45.00,130.67,Delivered,Cash,96.39,64.39
130.00,123,13,2025-01-05,659.14,,0.00,659.14,45.00,414.19,Delivered,Wallet,190.01,158.01
131.00,200,25,2025-01-10,443.83,,0.00,443.83,0.00,250.19,Delivered,Cash,97.64,65.64
132.00,289,7,2025-04-16,349.33,,0.00,349.33,55.00,190.90,Delivered,Card,124.87,92.87
133.00,64,1,2025-10-13,430.01,,0.00,430.01,0.00,228.51,Delivered,Card,94.60,62.60
134.00,137,11,2025-05-29,250.52,,0.00,250.52,25.00,140.98,Delivered,Wallet,87.63,55.63
135.00,252,12,2025-08-19,491.49,,0.00,491.49,35.00,269.46,Delivered,UPI,157.87,125.87
136.00,199,19,2025-11-09,556.44,,0.00,556.44,35.00,289.83,Delivered,Wallet,157.42,125.42
137.00,170,7,2025-11-30,496.16,,0.00,496.16,25.00,278.32,Delivered,UPI,124.23,92.23
138.00,82,18,2025-10-27,239.59,,0.00,239.59,0.00,152.45,Delivered,UPI,43.13,11.13
139.00,39,18,2025-11-11,269.38,,0.00,269.38,35.00,161.52,Cancelled,Cash,0.00,0.00
140.00,152,11,2025-12-18,328.40,,0.00,328.40,55.00,191.54,Delivered,Cash,137.10,105.10
141.00,284,23,2025-05-27,375.08,,0.00,375.08,55.00,214.92,Delivered,UPI,122.51,90.51
142.00,59,24,2025-11-25,484.82,,0.00,484.82,25.00,263.62,Delivered,Wallet,121.96,89.96
143.00,40,14,2025-01-11,273.75,,0.00,273.75,0.00,152.82,Cancelled,Cash,0.00,0.00
144.00,45,30,2025-01-03,308.48,,0.00,308.48,0.00,190.76,Delivered,Card,61.70,29.70
145.00,165,9,2025-05-20,336.47,,0.00,336.47,45.00,188.98,Delivered,Wallet,105.56,73.56
146.00,162,22,2025-05-28,457.38,,0.00,457.38,0.00,256.20,Delivered,Card,114.35,82.35
147.00,287,23,2025-06-20,445.98,,0.00,445.98,35.00,243.93,Delivered,Wallet,115.28,83.28
148.00,171,27,2025-08-08,739.55,,0.00,739.55,45.00,451.32,Cancelled,Cash,0.00,0.00
149.00,284,21,2025-01-19,312.79,,0.00,312.79,35.00,173.53,Delivered,Wallet,91.30,59.30
150.00,260,16,2025-11-20,442.89,,0.00,442.89,45.00,243.90,Delivered,Wallet,133.58,101.58
151.00,98,5,2025-09-17,431.95,,0.00,431.95,25.00,249.24,Delivered,UPI,111.39,79.39
152.00,24,12,2025-01-05,283.36,,0.00,283.36,45.00,168.24,Delivered,Cash,115.84,83.84
153.00,242,28,2025-06-26,827.43,,0.00,827.43,25.00,469.35,Delivered,Card,231.86,199.86
154.00,220,6,2025-04-15,355.49,,0.00,355.49,0.00,187.24,Delivered,Wallet,71.10,39.10
155.00,47,1,2025-07-27,1243.55,,0.00,1243.55,35.00,684.96,Delivered,Wallet,308.58,276.58
156.00,205,7,2025-11-17,355.56,,0.00,355.56,35.00,195.33,Cancelled,Wallet,0.00,0.00
157.00,275,15,2025-01-04,333.46,,0.00,333.46,25.00,207.67,Delivered,Wallet,91.69,59.69
158.00,143,19,2025-08-22,669.27,,0.00,669.27,45.00,411.96,Delivered,Card,192.24,160.24
159.00,214,24,2025-01-02,307.97,,0.00,307.97,0.00,177.93,Delivered,Card,61.59,29.59
160.00,133,5,2025-03-06,1217.89,,0.00,1217.89,35.00,636.28,Delivered,Card,278.58,246.58
161.00,93,2,2025-06-16,663.35,,0.00,663.35,0.00,394.76,Delivered,Card,119.40,87.40
162.00,12,16,2025-09-30,507.55,,0.00,507.55,55.00,289.85,Delivered,Card,156.51,124.51
163.00,14,26,2025-12-11,810.95,,0.00,810.95,0.00,495.82,Delivered,Card,202.74,170.74
164.00,273,8,2025-10-08,279.17,,0.00,279.17,45.00,176.91,Delivered,UPI,100.83,68.83
165.00,50,19,2025-06-19,268.60,,0.00,268.60,25.00,171.12,Delivered,UPI,84.09,52.09
166.00,226,27,2025-10-10,547.21,,0.00,547.21,45.00,286.99,Delivered,Wallet,165.39,133.39
167.00,165,9,2025-05-14,723.63,,0.00,723.63,25.00,405.04,Cancelled,Card,0.00,0.00
168.00,85,27,2025-03-17,309.88,,0.00,309.88,0.00,184.23,Delivered,UPI,68.17,36.17
169.00,282,21,2025-06-25,379.47,,0.00,379.47,45.00,231.03,Delivered,Card,113.30,81.30
170.00,268,1,2025-10-27,608.77,,0.00,608.77,35.00,375.26,Delivered,UPI,168.93,136.93
171.00,256,8,2025-09-03,437.76,,0.00,437.76,45.00,239.91,Delivered,Card,132.55,100.55
172.00,57,17,2025-06-28,512.23,,0.00,512.23,35.00,303.14,Delivered,Card,137.45,105.45
173.00,154,26,2025-09-16,694.96,,0.00,694.96,0.00,383.17,Delivered,UPI,173.74,141.74
174.00,179,19,2025-07-31,306.57,,0.00,306.57,35.00,190.48,Delivered,Cash,102.45,70.45
175.00,181,27,2025-10-05,551.43,,0.00,551.43,35.00,320.09,Delivered,Cash,156.31,124.31
176.00,191,9,2025-10-08,323.37,,0.00,323.37,35.00,204.34,Cancelled,Cash,0.00,0.00
177.00,61,7,2025-11-05,345.09,,0.00,345.09,0.00,191.48,Delivered,Card,69.02,37.02
178.00,234,26,2025-04-05,601.30,,0.00,601.30,35.00,368.74,Cancelled,Wallet,0.00,0.00
179.00,87,15,2025-12-09,376.11,,0.00,376.11,45.00,203.53,Delivered,Card,120.22,88.22
180.00,178,20,2025-09-09,517.64,,0.00,517.64,0.00,313.20,Delivered,UPI,103.53,71.53
181.00,254,29,2025-11-15,358.29,,0.00,358.29,55.00,205.14,Delivered,UPI,133.82,101.82
182.00,17,5,2025-07-01,406.75,,0.00,406.75,35.00,220.46,Delivered,Wallet,116.35,84.35
183.00,87,11,2025-11-06,370.02,,0.00,370.02,25.00,212.18,Delivered,Card,117.51,85.51
184.00,9,28,2025-05-04,739.37,,0.00,739.37,55.00,463.13,Delivered,Card,239.84,207.84
185.00,266,21,2025-05-12,258.27,,0.00,258.27,25.00,135.11,Delivered,Wallet,71.49,39.49
186.00,212,18,2025-06-29,781.67,,0.00,781.67,55.00,463.46,Delivered,UPI,195.70,163.70
187.00,284,12,2025-07-14,224.30,,0.00,224.30,55.00,137.62,Delivered,Card,111.08,79.08
188.00,114,30,2025-04-29,244.60,,0.00,244.60,0.00,129.89,Delivered,Card,48.92,16.92
189.00,30,15,2025-06-02,509.32,,0.00,509.32,35.00,283.23,Delivered,Card,136.86,104.86
190.00,254,6,2025-07-11,737.06,,0.00,737.06,25.00,449.14,Delivered,Cash,172.41,140.41
191.00,41,24,2025-03-13,405.32,,0.00,405.32,25.00,242.82,Delivered,Cash,106.06,74.06
192.00,69,28,2025-08-12,327.17,,0.00,327.17,45.00,200.25,Delivered,Wallet,126.79,94.79
193.00,203,1,2025-07-06,638.74,,0.00,638.74,35.00,353.38,Delivered,Cash,175.52,143.52
194.00,125,9,2025-11-25,572.40,6,75.00,497.40,45.00,340.76,Delivered,Cash,148.03,41.03
195.00,53,18,2025-07-12,581.32,3,116.26,465.06,0.00,337.98,Delivered,UPI,104.64,-43.62
196.00,264,8,2025-09-06,1366.75,,0.00,1366.75,55.00,845.25,Delivered,Wallet,328.35,296.35
197.00,97,12,2025-09-16,833.13,,0.00,833.13,45.00,520.96,Delivered,UPI,253.28,221.28
198.00,235,15,2025-02-09,359.24,,0.00,359.24,0.00,188.92,Delivered,Wallet,71.85,39.85
199.00,130,3,2025-09-07,860.64,,0.00,860.64,25.00,532.46,Delivered,Card,240.16,208.16
200.00,288,27,2025-12-15,849.07,,0.00,849.07,0.00,461.79,Delivered,Card,186.80,154.80
201.00,82,29,2025-04-16,425.22,,0.00,425.22,55.00,264.25,Delivered,Wallet,148.55,116.55
202.00,273,23,2025-04-28,357.87,,0.00,357.87,25.00,202.61,Delivered,Wallet,89.42,57.42
203.00,66,15,2025-08-27,591.51,,0.00,591.51,55.00,378.53,Delivered,UPI,173.30,141.30
204.00,107,4,2025-11-15,378.78,,0.00,378.78,0.00,221.77,Delivered,UPI,68.18,36.18
205.00,231,26,2025-04-01,421.65,,0.00,421.65,45.00,250.38,Delivered,Card,150.41,118.41
206.00,245,14,2025-02-27,441.35,,0.00,441.35,35.00,265.01,Delivered,UPI,145.34,113.34
207.00,141,10,2025-06-29,434.20,,0.00,434.20,55.00,264.16,Delivered,Card,133.16,101.16
208.00,289,10,2025-06-12,406.82,,0.00,406.82,0.00,248.21,Delivered,Card,73.23,41.23
209.00,90,2,2025-06-23,785.52,,0.00,785.52,25.00,482.51,Delivered,Wallet,166.39,134.39
210.00,160,19,2025-10-22,590.31,,0.00,590.31,55.00,330.24,Delivered,Wallet,184.87,152.87
211.00,192,1,2025-12-30,1421.48,,0.00,1421.48,0.00,846.97,Delivered,Cash,312.73,280.73
212.00,282,16,2025-07-25,590.60,,0.00,590.60,25.00,315.46,Delivered,UPI,143.12,111.12
213.00,24,16,2025-09-01,899.84,,0.00,899.84,0.00,559.74,Delivered,UPI,179.97,147.97
214.00,176,19,2025-11-17,372.48,,0.00,372.48,35.00,196.74,Delivered,Card,116.95,84.95
215.00,294,8,2025-12-22,389.71,,0.00,389.71,35.00,239.19,Delivered,UPI,112.94,80.94
216.00,131,8,2025-10-30,2666.66,,0.00,2666.66,55.00,1523.52,Delivered,UPI,588.33,556.33
217.00,11,30,2025-05-06,264.72,,0.00,264.72,45.00,156.56,Delivered,Card,97.94,65.94
218.00,169,23,2025-06-16,841.44,,0.00,841.44,25.00,518.71,Cancelled,Wallet,0.00,0.00
219.00,256,16,2025-03-15,250.95,,0.00,250.95,35.00,141.12,Delivered,Wallet,85.19,53.19
220.00,219,26,2025-11-01,305.38,,0.00,305.38,0.00,176.67,Delivered,Card,76.35,44.35
221.00,11,21,2025-02-10,294.02,,0.00,294.02,0.00,186.04,Delivered,Wallet,52.92,20.92
222.00,42,4,2025-06-23,561.62,,0.00,561.62,25.00,293.91,Delivered,Card,126.09,94.09
223.00,140,15,2025-05-11,229.78,,0.00,229.78,45.00,147.05,Delivered,Card,90.96,58.96
224.00,208,1,2025-10-04,249.91,,0.00,249.91,55.00,134.26,Delivered,Card,109.98,77.98
225.00,89,28,2025-10-17,640.84,,0.00,640.84,35.00,339.90,Delivered,Cash,195.21,163.21
226.00,13,25,2025-07-15,657.16,,0.00,657.16,45.00,393.53,Delivered,Cash,189.58,157.58
227.00,173,7,2025-05-24,979.52,,0.00,979.52,45.00,545.48,Delivered,Wallet,240.90,208.90
228.00,6,18,2025-01-30,377.53,,0.00,377.53,25.00,240.06,Delivered,Cash,92.96,60.96
229.00,82,4,2025-07-14,643.63,,0.00,643.63,45.00,392.13,Delivered,Wallet,160.85,128.85
230.00,110,28,2025-08-16,512.58,,0.00,512.58,0.00,322.25,Delivered,Card,128.15,96.15
231.00,73,14,2025-04-21,315.32,,0.00,315.32,35.00,169.90,Delivered,Wallet,113.83,81.83
232.00,293,13,2025-03-17,448.07,,0.00,448.07,25.00,254.61,Delivered,Wallet,123.58,91.58
233.00,163,1,2025-12-15,365.29,,0.00,365.29,0.00,195.68,Delivered,Cash,80.36,48.36
234.00,257,10,2025-06-04,874.55,,0.00,874.55,55.00,466.70,Delivered,Cash,212.42,180.42
235.00,178,2,2025-05-16,626.08,,0.00,626.08,55.00,356.60,Delivered,UPI,167.69,135.69
236.00,258,8,2025-05-05,420.13,,0.00,420.13,25.00,253.99,Delivered,UPI,109.03,77.03
237.00,193,2,2025-11-23,499.35,6,75.00,424.35,25.00,264.46,Delivered,Card,114.88,7.88
238.00,45,1,2025-11-12,621.32,1,150.00,471.32,0.00,324.40,Delivered,Card,136.69,-45.31
239.00,136,1,2025-10-19,541.11,,0.00,541.11,0.00,301.78,Delivered,Card,119.04,87.04
240.00,190,3,2025-07-03,602.03,,0.00,602.03,35.00,369.64,Delivered,Cash,185.51,153.51
241.00,273,27,2025-03-21,462.64,,0.00,462.64,25.00,284.45,Delivered,Cash,126.78,94.78
242.00,136,1,2025-02-27,550.96,,0.00,550.96,0.00,321.29,Delivered,UPI,121.21,89.21
243.00,108,24,2025-07-23,394.27,,0.00,394.27,55.00,224.68,Cancelled,Wallet,0.00,0.00
244.00,180,25,2025-05-15,246.77,,0.00,246.77,0.00,145.70,Delivered,Wallet,54.29,22.29
245.00,180,12,2025-01-01,402.38,,0.00,402.38,55.00,228.82,Delivered,Wallet,155.60,123.60
246.00,98,25,2025-02-22,645.19,,0.00,645.19,45.00,341.00,Delivered,Cash,186.94,154.94
247.00,294,4,2025-08-22,225.98,,0.00,225.98,35.00,123.47,Delivered,Card,75.68,43.68
248.00,127,10,2025-05-07,726.38,,0.00,726.38,55.00,462.29,Delivered,Card,185.75,153.75
249.00,159,21,2025-08-04,435.89,,0.00,435.89,55.00,267.15,Delivered,Cash,133.46,101.46
250.00,44,5,2025-02-11,608.36,,0.00,608.36,55.00,369.08,Delivered,UPI,176.67,144.67
251.00,228,28,2025-10-14,452.16,,0.00,452.16,35.00,286.05,Delivered,Wallet,148.04,116.04
252.00,97,4,2025-06-20,443.73,,0.00,443.73,55.00,264.18,Delivered,Card,134.87,102.87
253.00,156,27,2025-07-31,1206.96,,0.00,1206.96,0.00,727.39,Delivered,Cash,265.53,233.53
254.00,24,16,2025-04-04,253.06,,0.00,253.06,45.00,158.50,Delivered,UPI,95.61,63.61
255.00,45,11,2025-01-18,490.25,,0.00,490.25,45.00,289.51,Delivered,UPI,167.56,135.56
256.00,222,15,2025-03-10,617.78,,0.00,617.78,0.00,325.98,Delivered,Cash,123.56,91.56
257.00,65,11,2025-05-31,223.06,,0.00,223.06,35.00,125.29,Delivered,Card,90.77,58.77
258.00,262,30,2025-05-17,350.74,,0.00,350.74,0.00,210.11,Delivered,Card,70.15,38.15
259.00,169,7,2025-08-01,320.57,,0.00,320.57,55.00,181.76,Delivered,Cash,119.11,87.11
260.00,110,17,2025-12-02,768.44,4,0.00,768.44,0.00,434.10,Delivered,UPI,153.69,121.69
