order_id,customer_id,restaurant_id,order_date,gross_order_value,coupon_id,discount_amount,net_order_value,delivery_fee,food_cost,order_status,payment_method,estimated_zomato_revenue,estimated_profit,order_type,order_month,order_day,order_hour
22.0,221,8,2025-10-26,445.63,,0.0,445.63,55.0,236.31,Delivered,Wallet,144.13,112.13,Non-Coupon Order,2025-10,Sunday,0
23.0,165,27,2025-10-19,425.02,,0.0,425.02,45.0,231.17,Delivered,Upi,138.5,106.5,Non-Coupon Order,2025-10,Sunday,0
24.0,182,28,2025-07-10,263.95,,0.0,263.95,25.0,164.49,Delivered,Wallet,90.99,58.99,Non-Coupon Order,2025-07,Thursday,0
26.0,250,4,2025-07-11,610.56,,0.0,610.56,35.0,376.99,Delivered,Wallet,144.9,112.9,Non-Coupon Order,2025-07,Friday,0
27.0,48,20,2025-03-30,446.43,,0.0,446.43,45.0,242.57,Delivered,Cash,134.29,102.29,Non-Coupon Order,2025-03,Sunday,0
28.0,138,26,2025-01-18,371.65,,0.0,371.65,55.0,226.02,Delivered,Upi,147.91,115.91,Non-Coupon Order,2025-01,Saturday,0
29.0,34,8,2025-09-22,345.28,,0.0,345.28,55.0,196.82,Delivered,Wallet,124.06,92.06,Non-Coupon Order,2025-09,Monday,0
31.0,210,24,2025-04-30,742.56,,0.0,742.56,45.0,459.41,Delivered,Upi,193.51,161.51,Non-Coupon Order,2025-04,Wednesday,0
32.0,193,9,2025-10-09,467.09,,0.0,467.09,35.0,266.88,Delivered,Cash,119.08,87.08,Non-Coupon Order,2025-10,Thursday,0
33.0,1,27,2025-05-05,1147.37,,0.0,1147.37,55.0,633.0,Delivered,Card,307.42,275.42,Non-Coupon Order,2025-05,Monday,0
34.0,285,26,2025-07-02,760.26,6.0,75.0,685.26,25.0,428.94,Delivered,Card,215.07,108.07,Coupon Order,2025-07,Wednesday,0
36.0,155,2,2025-07-08,276.27,,0.0,276.27,35.0,154.75,Delivered,Cash,84.73,52.73,Non-Coupon Order,2025-07,Tuesday,0
37.0,218,28,2025-01-12,465.23,,0.0,465.23,25.0,265.05,Delivered,Wallet,141.31,109.31,Non-Coupon Order,2025-01,Sunday,0
38.0,277,16,2025-05-15,671.33,,0.0,671.33,25.0,382.77,Delivered,Cash,159.27,127.27,Non-Coupon Order,2025-05,Thursday,0
39.0,265,24,2025-09-25,418.69,,0.0,418.69,35.0,255.97,Delivered,Cash,118.74,86.74,Non-Coupon Order,2025-09,Thursday,0
40.0,60,10,2025-10-23,356.48,,0.0,356.48,55.0,197.28,Delivered,Cash,119.17,87.17,Non-Coupon Order,2025-10,Thursday,0
41.0,216,22,2025-05-26,413.46,,0.0,413.46,35.0,246.31,Delivered,Wallet,138.37,106.37,Non-Coupon Order,2025-05,Monday,0
42.0,159,16,2025-02-09,427.61,,0.0,427.61,35.0,262.32,Delivered,Cash,120.52,88.52,Non-Coupon Order,2025-02,Sunday,0
44.0,116,8,2025-12-03,660.75,,0.0,660.75,45.0,347.48,Delivered,Upi,177.15,145.15,Non-Coupon Order,2025-12,Wednesday,0
45.0,159,18,2025-05-05,778.48,,0.0,778.48,25.0,469.42,Delivered,Card,165.13,133.13,Non-Coupon Order,2025-05,Monday,0
46.0,19,1,2025-05-03,478.1,,0.0,478.1,25.0,280.06,Delivered,Card,130.18,98.18,Non-Coupon Order,2025-05,Saturday,0
47.0,222,27,2025-01-23,876.18,,0.0,876.18,45.0,487.25,Delivered,Card,237.76,205.76,Non-Coupon Order,2025-01,Thursday,0
48.0,1,29,2025-09-15,840.67,,0.0,840.67,0.0,454.55,Delivered,Upi,184.95,152.95,Non-Coupon Order,2025-09,Monday,0
49.0,157,23,2025-03-20,811.98,,0.0,811.98,45.0,424.75,Delivered,Cash,191.16,159.16,Non-Coupon Order,2025-03,Thursday,0
50.0,118,27,2025-03-17,524.25,,0.0,524.25,45.0,283.48,Delivered,Wallet,160.33,128.33,Non-Coupon Order,2025-03,Monday,0
51.0,274,16,2025-11-11,908.71,7.0,241.34,667.37,55.0,578.15,Delivered,Cash,236.74,-36.6,Coupon Order,2025-11,Tuesday,0
52.0,114,10,2025-04-05,798.77,,0.0,798.77,55.0,422.9,Delivered,Cash,198.78,166.78,Non-Coupon Order,2025-04,Saturday,0
53.0,133,30,2025-07-19,704.65,,0.0,704.65,55.0,420.59,Delivered,Card,195.93,163.93,Non-Coupon Order,2025-07,Saturday,0
54.0,242,14,2025-01-12,889.82,,0.0,889.82,0.0,558.93,Delivered,Card,222.46,190.46,Non-Coupon Order,2025-01,Sunday,0
55.0,172,5,2025-10-26,638.62,,0.0,638.62,45.0,341.79,Delivered,Cash,172.72,140.72,Non-Coupon Order,2025-10,Sunday,0
57.0,145,28,2025-05-12,234.89,,0.0,234.89,35.0,135.11,Delivered,Cash,93.72,61.72,Non-Coupon Order,2025-05,Monday,0
59.0,55,2,2025-10-18,1081.62,6.0,75.0,1006.62,45.0,579.03,Delivered,Cash,239.69,132.69,Coupon Order,2025-10,Saturday,0
60.0,299,25,2025-02-26,361.8,,0.0,361.8,45.0,231.42,Delivered,Upi,124.6,92.6,Non-Coupon Order,2025-02,Wednesday,0
61.0,14,1,2025-12-02,553.16,,0.0,553.16,25.0,346.48,Delivered,Card,146.7,114.7,Non-Coupon Order,2025-12,Tuesday,0
62.0,290,28,2025-02-13,1367.68,,0.0,1367.68,45.0,776.82,Delivered,Card,386.92,354.92,Non-Coupon Order,2025-02,Thursday,0
63.0,20,3,2025-06-05,371.39,,0.0,371.39,45.0,227.57,Delivered,Card,137.85,105.85,Non-Coupon Order,2025-06,Thursday,0
64.0,50,9,2025-03-10,355.54,,0.0,355.54,35.0,220.26,Delivered,Cash,99.0,67.0,Non-Coupon Order,2025-03,Monday,0
65.0,261,26,2025-11-03,917.69,,0.0,917.69,0.0,537.07,Delivered,Card,229.42,197.42,Non-Coupon Order,2025-11,Monday,0
66.0,196,30,2025-08-14,2555.77,,0.0,2555.77,0.0,1530.21,Delivered,Upi,511.15,479.15,Non-Coupon Order,2025-08,Thursday,0
67.0,258,7,2025-10-21,572.93,,0.0,572.93,55.0,311.44,Delivered,Upi,169.59,137.59,Non-Coupon Order,2025-10,Tuesday,0
68.0,95,24,2025-01-27,623.79,,0.0,623.79,35.0,349.65,Delivered,Wallet,159.76,127.76,Non-Coupon Order,2025-01,Monday,0
69.0,103,14,2025-01-30,301.46,,0.0,301.46,45.0,189.71,Delivered,Card,120.37,88.37,Non-Coupon Order,2025-01,Thursday,0
70.0,90,16,2025-08-31,392.83,,0.0,392.83,35.0,248.93,Delivered,Wallet,113.57,81.57,Non-Coupon Order,2025-08,Sunday,0
71.0,294,22,2025-10-26,394.08,,0.0,394.08,0.0,211.47,Delivered,Wallet,98.52,66.52,Non-Coupon Order,2025-10,Sunday,0
72.0,123,29,2025-11-12,383.24,,0.0,383.24,45.0,223.41,Delivered,Card,129.31,97.31,Non-Coupon Order,2025-11,Wednesday,0
73.0,16,13,2025-05-18,270.88,,0.0,270.88,35.0,166.06,Delivered,Cash,94.59,62.59,Non-Coupon Order,2025-05,Sunday,0
74.0,260,21,2025-03-31,879.95,,0.0,879.95,25.0,470.94,Delivered,Upi,183.39,151.39,Non-Coupon Order,2025-03,Monday,0
75.0,269,23,2025-06-06,374.88,,0.0,374.88,45.0,209.89,Delivered,Card,112.48,80.48,Non-Coupon Order,2025-06,Friday,0
76.0,180,2,2025-06-23,680.77,,0.0,680.77,25.0,386.39,Delivered,Card,147.54,115.54,Non-Coupon Order,2025-06,Monday,0
77.0,40,14,2025-10-23,257.75,,0.0,257.75,0.0,151.82,Delivered,Cash,64.44,32.44,Non-Coupon Order,2025-10,Thursday,0
78.0,202,17,2025-07-05,275.38,,0.0,275.38,25.0,157.76,Delivered,Cash,80.08,48.08,Non-Coupon Order,2025-07,Saturday,0
79.0,98,8,2025-02-21,479.01,,0.0,479.01,55.0,249.6,Delivered,Card,150.8,118.8,Non-Coupon Order,2025-02,Friday,0
80.0,170,20,2025-09-06,1270.22,,0.0,1270.22,55.0,802.1,Delivered,Upi,309.04,277.04,Non-Coupon Order,2025-09,Saturday,0
81.0,79,10,2025-06-27,231.67,,0.0,231.67,55.0,140.87,Delivered,Cash,96.7,64.7,Non-Coupon Order,2025-06,Friday,0
82.0,79,27,2025-04-26,435.32,,0.0,435.32,0.0,234.55,Delivered,Wallet,95.77,63.77,Non-Coupon Order,2025-04,Saturday,0
83.0,157,21,2025-06-10,425.53,,0.0,425.53,0.0,247.14,Delivered,Wallet,76.6,44.6,Non-Coupon Order,2025-06,Tuesday,0
84.0,247,6,2025-10-13,292.37,,0.0,292.37,25.0,152.19,Delivered,Upi,83.47,51.47,Non-Coupon Order,2025-10,Monday,0
85.0,103,5,2025-11-28,303.14,,0.0,303.14,45.0,179.02,Delivered,Wallet,105.63,73.63,Non-Coupon Order,2025-11,Friday,0
86.0,101,17,2025-06-19,244.3,,0.0,244.3,35.0,135.8,Delivered,Cash,83.86,51.86,Non-Coupon Order,2025-06,Thursday,0
87.0,231,14,2025-12-03,421.27,,0.0,421.27,35.0,253.11,Delivered,Card,140.32,108.32,Non-Coupon Order,2025-12,Wednesday,0
88.0,15,9,2025-05-23,458.19,,0.0,458.19,45.0,239.44,Delivered,Cash,127.47,95.47,Non-Coupon Order,2025-05,Friday,0
89.0,33,26,2025-03-04,400.77,,0.0,400.77,45.0,218.15,Delivered,Upi,145.19,113.19,Non-Coupon Order,2025-03,Tuesday,0
90.0,139,27,2025-09-03,422.53,,0.0,422.53,0.0,230.6,Delivered,Card,92.96,60.96,Non-Coupon Order,2025-09,Wednesday,0
91.0,164,19,2025-03-05,662.3,,0.0,662.3,45.0,391.46,Delivered,Wallet,190.71,158.71,Non-Coupon Order,2025-03,Wednesday,0
92.0,115,15,2025-05-13,233.51,,0.0,233.51,55.0,138.84,Delivered,Upi,101.7,69.7,Non-Coupon Order,2025-05,Tuesday,0
93.0,174,26,2025-09-21,458.56,,0.0,458.56,35.0,258.52,Delivered,Card,149.64,117.64,Non-Coupon Order,2025-09,Sunday,0
94.0,180,21,2025-09-13,313.91,,0.0,313.91,45.0,181.99,Delivered,Card,101.5,69.5,Non-Coupon Order,2025-09,Saturday,0
95.0,111,17,2025-09-15,1300.36,,0.0,1300.36,25.0,826.32,Delivered,Card,285.07,253.07,Non-Coupon Order,2025-09,Monday,0
96.0,62,13,2025-12-02,531.6,,0.0,531.6,45.0,315.84,Delivered,Upi,161.95,129.95,Non-Coupon Order,2025-12,Tuesday,0
97.0,204,28,2025-07-01,338.02,,0.0,338.02,45.0,202.84,Delivered,Wallet,129.51,97.51,Non-Coupon Order,2025-07,Tuesday,0
98.0,47,3,2025-09-07,571.34,,0.0,571.34,0.0,342.76,Delivered,Wallet,142.84,110.84,Non-Coupon Order,2025-09,Sunday,0
99.0,64,26,2025-05-15,428.35,,0.0,428.35,45.0,244.22,Delivered,Card,152.09,120.09,Non-Coupon Order,2025-05,Thursday,0
100.0,270,25,2025-07-09,461.18,,0.0,461.18,35.0,272.88,Delivered,Upi,136.46,104.46,Non-Coupon Order,2025-07,Wednesday,0
101.0,57,17,2025-03-12,457.05,,0.0,457.05,25.0,269.4,Delivered,Card,116.41,84.41,Non-Coupon Order,2025-03,Wednesday,0
102.0,76,8,2025-05-26,346.07,,0.0,346.07,55.0,214.32,Delivered,Card,124.21,92.21,Non-Coupon Order,2025-05,Monday,0
103.0,241,12,2025-07-09,316.78,,0.0,316.78,35.0,197.35,Delivered,Card,114.2,82.2,Non-Coupon Order,2025-07,Wednesday,0
104.0,152,23,2025-04-18,251.49,,0.0,251.49,25.0,153.38,Delivered,Cash,70.27,38.27,Non-Coupon Order,2025-04,Friday,0
105.0,135,26,2025-05-20,516.76,,0.0,516.76,25.0,282.63,Delivered,Wallet,154.19,122.19,Non-Coupon Order,2025-05,Tuesday,0
106.0,203,21,2025-06-14,818.45,,0.0,818.45,45.0,454.59,Delivered,Cash,192.32,160.32,Non-Coupon Order,2025-06,Saturday,0
107.0,236,16,2025-11-16,494.15,,0.0,494.15,25.0,284.6,Delivered,Upi,123.83,91.83,Non-Coupon Order,2025-11,Sunday,0
108.0,176,12,2025-12-14,1005.41,,0.0,1005.41,55.0,583.32,Delivered,Wallet,306.35,274.35,Non-Coupon Order,2025-12,Sunday,0
109.0,242,18,2025-09-17,886.78,,0.0,886.78,25.0,541.6,Delivered,Upi,184.62,152.62,Non-Coupon Order,2025-09,Wednesday,0
110.0,272,24,2025-04-12,1480.2,,0.0,1480.2,55.0,781.85,Delivered,Wallet,351.04,319.04,Non-Coupon Order,2025-04,Saturday,0
111.0,268,29,2025-10-14,537.75,,0.0,537.75,0.0,293.42,Delivered,Cash,118.31,86.31,Non-Coupon Order,2025-10,Tuesday,0
112.0,73,10,2025-11-14,321.3,,0.0,321.3,45.0,202.7,Delivered,Cash,102.83,70.83,Non-Coupon Order,2025-11,Friday,0
113.0,263,27,2025-09-22,381.22,,0.0,381.22,35.0,219.57,Delivered,Card,118.87,86.87,Non-Coupon Order,2025-09,Monday,0
114.0,55,25,2025-09-13,421.01,,0.0,421.01,55.0,258.67,Delivered,Wallet,147.62,115.62,Non-Coupon Order,2025-09,Saturday,0
115.0,35,26,2025-06-25,272.07,4.0,35.0,237.07,0.0,153.11,Delivered,Upi,68.02,1.02,Coupon Order,2025-06,Wednesday,0
116.0,247,27,2025-05-13,400.44,,0.0,400.44,45.0,234.01,Delivered,Card,133.1,101.1,Non-Coupon Order,2025-05,Tuesday,0
117.0,257,23,2025-09-07,450.11,,0.0,450.11,45.0,261.73,Delivered,Upi,126.02,94.02,Non-Coupon Order,2025-09,Sunday,0
118.0,282,22,2025-02-20,496.4,,0.0,496.4,45.0,300.83,Delivered,Wallet,169.1,137.1,Non-Coupon Order,2025-02,Thursday,0
119.0,27,4,2025-01-31,562.34,,0.0,562.34,45.0,330.66,Delivered,Card,146.22,114.22,Non-Coupon Order,2025-01,Friday,0
120.0,290,15,2025-05-02,868.89,3.0,120.0,748.89,25.0,495.28,Delivered,Cash,198.78,46.78,Coupon Order,2025-05,Friday,0
121.0,275,3,2025-04-17,490.77,,0.0,490.77,45.0,271.65,Delivered,Wallet,167.69,135.69,Non-Coupon Order,2025-04,Thursday,0
122.0,15,25,2025-01-19,299.83,,0.0,299.83,45.0,172.79,Delivered,Upi,110.96,78.96,Non-Coupon Order,2025-01,Sunday,0
123.0,291,4,2025-04-22,321.61,,0.0,321.61,35.0,167.44,Delivered,Cash,92.89,60.89,Non-Coupon Order,2025-04,Tuesday,0
124.0,165,16,2025-11-24,419.07,,0.0,419.07,35.0,250.06,Delivered,Wallet,118.81,86.81,Non-Coupon Order,2025-11,Monday,0
125.0,29,21,2025-07-19,289.06,,0.0,289.06,35.0,170.41,Delivered,Card,87.03,55.03,Non-Coupon Order,2025-07,Saturday,0
126.0,186,23,2025-06-09,344.96,,0.0,344.96,0.0,183.15,Delivered,Wallet,62.09,30.09,Non-Coupon Order,2025-06,Monday,0
127.0,219,21,2025-10-19,394.33,,0.0,394.33,25.0,211.06,Delivered,Cash,95.98,63.98,Non-Coupon Order,2025-10,Sunday,0
128.0,252,25,2025-08-02,555.78,,0.0,555.78,0.0,345.96,Delivered,Wallet,122.27,90.27,Non-Coupon Order,2025-08,Saturday,0
129.0,120,27,2025-07-20,233.6,,0.0,233.6,45.0,130.67,Delivered,Cash,96.39,64.39,Non-Coupon Order,2025-07,Sunday,0
130.0,123,13,2025-01-05,659.14,,0.0,659.14,45.0,414.19,Delivered,Wallet,190.01,158.01,Non-Coupon Order,2025-01,Sunday,0
131.0,200,25,2025-01-10,443.83,,0.0,443.83,0.0,250.19,Delivered,Cash,97.64,65.64,Non-Coupon Order,2025-01,Friday,0
132.0,289,7,2025-04-16,349.33,,0.0,349.33,55.0,190.9,Delivered,Card,124.87,92.87,Non-Coupon Order,2025-04,Wednesday,0
133.0,64,1,2025-10-13,430.01,,0.0,430.01,0.0,228.51,Delivered,Card,94.6,62.6,Non-Coupon Order,2025-10,Monday,0
134.0,137,11,2025-05-29,250.52,,0.0,250.52,25.0,140.98,Delivered,Wallet,87.63,55.63,Non-Coupon Order,2025-05,Thursday,0
135.0,252,12,2025-08-19,491.49,,0.0,491.49,35.0,269.46,Delivered,Upi,157.87,125.87,Non-Coupon Order,2025-08,Tuesday,0
136.0,199,19,2025-11-09,556.44,,0.0,556.44,35.0,289.83,Delivered,Wallet,157.42,125.42,Non-Coupon Order,2025-11,Sunday,0
137.0,170,7,2025-11-30,496.16,,0.0,496.16,25.0,278.32,Delivered,Upi,124.23,92.23,Non-Coupon Order,2025-11,Sunday,0
138.0,82,18,2025-10-27,239.59,,0.0,239.59,0.0,152.45,Delivered,Upi,43.13,11.13,Non-Coupon Order,2025-10,Monday,0
140.0,152,11,2025-12-18,328.4,,0.0,328.4,55.0,191.54,Delivered,Cash,137.1,105.1,Non-Coupon Order,2025-12,Thursday,0
141.0,284,23,2025-05-27,375.08,,0.0,375.08,55.0,214.92,Delivered,Upi,122.51,90.51,Non-Coupon Order,2025-05,Tuesday,0
142.0,59,24,2025-11-25,484.82,,0.0,484.82,25.0,263.62,Delivered,Wallet,121.96,89.96,Non-Coupon Order,2025-11,Tuesday,0
144.0,45,30,2025-01-03,308.48,,0.0,308.48,0.0,190.76,Delivered,Card,61.7,29.7,Non-Coupon Order,2025-01,Friday,0
145.0,165,9,2025-05-20,336.47,,0.0,336.47,45.0,188.98,Delivered,Wallet,105.56,73.56,Non-Coupon Order,2025-05,Tuesday,0
146.0,162,22,2025-05-28,457.38,,0.0,457.38,0.0,256.2,Delivered,Card,114.35,82.35,Non-Coupon Order,2025-05,Wednesday,0
147.0,287,23,2025-06-20,445.98,,0.0,445.98,35.0,243.93,Delivered,Wallet,115.28,83.28,Non-Coupon Order,2025-06,Friday,0
149.0,284,21,2025-01-19,312.79,,0.0,312.79,35.0,173.53,Delivered,Wallet,91.3,59.3,Non-Coupon Order,2025-01,Sunday,0
150.0,260,16,2025-11-20,442.89,,0.0,442.89,45.0,243.9,Delivered,Wallet,133.58,101.58,Non-Coupon Order,2025-11,Thursday,0
151.0,98,5,2025-09-17,431.95,,0.0,431.95,25.0,249.24,Delivered,Upi,111.39,79.39,Non-Coupon Order,2025-09,Wednesday,0
152.0,24,12,2025-01-05,283.36,,0.0,283.36,45.0,168.24,Delivered,Cash,115.84,83.84,Non-Coupon Order,2025-01,Sunday,0
153.0,242,28,2025-06-26,827.43,,0.0,827.43,25.0,469.35,Delivered,Card,231.86,199.86,Non-Coupon Order,2025-06,Thursday,0
154.0,220,6,2025-04-15,355.49,,0.0,355.49,0.0,187.24,Delivered,Wallet,71.1,39.1,Non-Coupon Order,2025-04,Tuesday,0
155.0,47,1,2025-07-27,1243.55,,0.0,1243.55,35.0,684.96,Delivered,Wallet,308.58,276.58,Non-Coupon Order,2025-07,Sunday,0
157.0,275,15,2025-01-04,333.46,,0.0,333.46,25.0,207.67,Delivered,Wallet,91.69,59.69,Non-Coupon Order,2025-01,Saturday,0
158.0,143,19,2025-08-22,669.27,,0.0,669.27,45.0,411.96,Delivered,Card,192.24,160.24,Non-Coupon Order,2025-08,Friday,0
159.0,214,24,2025-01-02,307.97,,0.0,307.97,0.0,177.93,Delivered,Card,61.59,29.59,Non-Coupon Order,2025-01,Thursday,0
160.0,133,5,2025-03-06,1217.89,,0.0,1217.89,35.0,636.28,Delivered,Card,278.58,246.58,Non-Coupon Order,2025-03,Thursday,0
161.0,93,2,2025-06-16,663.35,,0.0,663.35,0.0,394.76,Delivered,Card,119.4,87.4,Non-Coupon Order,2025-06,Monday,0
162.0,12,16,2025-09-30,507.55,,0.0,507.55,55.0,289.85,Delivered,Card,156.51,124.51,Non-Coupon Order,2025-09,Tuesday,0
163.0,14,26,2025-12-11,810.95,,0.0,810.95,0.0,495.82,Delivered,Card,202.74,170.74,Non-Coupon Order,2025-12,Thursday,0
164.0,273,8,2025-10-08,279.17,,0.0,279.17,45.0,176.91,Delivered,Upi,100.83,68.83,Non-Coupon Order,2025-10,Wednesday,0
165.0,50,19,2025-06-19,268.6,,0.0,268.6,25.0,171.12,Delivered,Upi,84.09,52.09,Non-Coupon Order,2025-06,Thursday,0
166.0,226,27,2025-10-10,547.21,,0.0,547.21,45.0,286.99,Delivered,Wallet,165.39,133.39,Non-Coupon Order,2025-10,Friday,0
168.0,85,27,2025-03-17,309.88,,0.0,309.88,0.0,184.23,Delivered,Upi,68.17,36.17,Non-Coupon Order,2025-03,Monday,0
169.0,282,21,2025-06-25,379.47,,0.0,379.47,45.0,231.03,Delivered,Card,113.3,81.3,Non-Coupon Order,2025-06,Wednesday,0
170.0,268,1,2025-10-27,608.77,,0.0,608.77,35.0,375.26,Delivered,Upi,168.93,136.93,Non-Coupon Order,2025-10,Monday,0
171.0,256,8,2025-09-03,437.76,,0.0,437.76,45.0,239.91,Delivered,Card,132.55,100.55,Non-Coupon Order,2025-09,Wednesday,0
172.0,57,17,2025-06-28,512.23,,0.0,512.23,35.0,303.14,Delivered,Card,137.45,105.45,Non-Coupon Order,2025-06,Saturday,0
173.0,154,26,2025-09-16,694.96,,0.0,694.96,0.0,383.17,Delivered,Upi,173.74,141.74,Non-Coupon Order,2025-09,Tuesday,0
174.0,179,19,2025-07-31,306.57,,0.0,306.57,35.0,190.48,Delivered,Cash,102.45,70.45,Non-Coupon Order,2025-07,Thursday,0
175.0,181,27,2025-10-05,551.43,,0.0,551.43,35.0,320.09,Delivered,Cash,156.31,124.31,Non-Coupon Order,2025-10,Sunday,0
177.0,61,7,2025-11-05,345.09,,0.0,345.09,0.0,191.48,Delivered,Card,69.02,37.02,Non-Coupon Order,2025-11,Wednesday,0
179.0,87,15,2025-12-09,376.11,,0.0,376.11,45.0,203.53,Delivered,Card,120.22,88.22,Non-Coupon Order,2025-12,Tuesday,0
180.0,178,20,2025-09-09,517.64,,0.0,517.64,0.0,313.2,Delivered,Upi,103.53,71.53,Non-Coupon Order,2025-09,Tuesday,0
181.0,254,29,2025-11-15,358.29,,0.0,358.29,55.0,205.14,Delivered,Upi,133.82,101.82,Non-Coupon Order,2025-11,Saturday,0
182.0,17,5,2025-07-01,406.75,,0.0,406.75,35.0,220.46,Delivered,Wallet,116.35,84.35,Non-Coupon Order,2025-07,Tuesday,0
183.0,87,11,2025-11-06,370.02,,0.0,370.02,25.0,212.18,Delivered,Card,117.51,85.51,Non-Coupon Order,2025-11,Thursday,0
184.0,9,28,2025-05-04,739.37,,0.0,739.37,55.0,463.13,Delivered,Card,239.84,207.84,Non-Coupon Order,2025-05,Sunday,0
185.0,266,21,2025-05-12,258.27,,0.0,258.27,25.0,135.11,Delivered,Wallet,71.49,39.49,Non-Coupon Order,2025-05,Monday,0
186.0,212,18,2025-06-29,781.67,,0.0,781.67,55.0,463.46,Delivered,Upi,195.7,163.7,Non-Coupon Order,2025-06,Sunday,0
187.0,284,12,2025-07-14,224.3,,0.0,224.3,55.0,137.62,Delivered,Card,111.08,79.08,Non-Coupon Order,2025-07,Monday,0
188.0,114,30,2025-04-29,244.6,,0.0,244.6,0.0,129.89,Delivered,Card,48.92,16.92,Non-Coupon Order,2025-04,Tuesday,0
189.0,30,15,2025-06-02,509.32,,0.0,509.32,35.0,283.23,Delivered,Card,136.86,104.86,Non-Coupon Order,2025-06,Monday,0
190.0,254,6,2025-07-11,737.06,,0.0,737.06,25.0,449.14,Delivered,Cash,172.41,140.41,Non-Coupon Order,2025-07,Friday,0
191.0,41,24,2025-03-13,405.32,,0.0,405.32,25.0,242.82,Delivered,Cash,106.06,74.06,Non-Coupon Order,2025-03,Thursday,0
192.0,69,28,2025-08-12,327.17,,0.0,327.17,45.0,200.25,Delivered,Wallet,126.79,94.79,Non-Coupon Order,2025-08,Tuesday,0
193.0,203,1,2025-07-06,638.74,,0.0,638.74,35.0,353.38,Delivered,Cash,175.52,143.52,Non-Coupon Order,2025-07,Sunday,0
194.0,125,9,2025-11-25,572.4,6.0,75.0,497.4,45.0,340.76,Delivered,Cash,148.03,41.03,Coupon Order,2025-11,Tuesday,0
195.0,53,18,2025-07-12,581.32,3.0,116.26,465.06,0.0,337.98,Delivered,Upi,104.64,-43.62,Coupon Order,2025-07,Saturday,0
196.0,264,8,2025-09-06,1366.75,,0.0,1366.75,55.0,845.25,Delivered,Wallet,328.35,296.35,Non-Coupon Order,2025-09,Saturday,0
