offer_id,customer_id,coupon_id,offer_date,channel
299,274,6,2025-01-10,Email
300,254,6,2025-01-17,Email
301,148,5,2025-07-03,Email
302,176,4,2025-09-19,SMS
303,193,1,2025-09-25,App Notification
304,232,8,2025-06-13,App Notification
305,121,7,2025-11-08,Email
306,255,1,2025-01-08,App Notification
307,293,8,2025-06-16,Email
308,104,3,2025-07-11,App Notification
309,190,8,2025-08-24,App Notification
310,53,4,2025-09-26,App Notification
311,283,4,2025-12-06,Email
312,89,5,2025-12-03,App Notification
313,95,6,2025-01-13,Email
314,187,4,2025-08-20,SMS
315,256,4,2025-04-23,App Notification
316,97,7,2025-10-27,Homepage Banner
317,154,7,2025-10-07,App Notification
318,110,8,2025-07-09,Homepage Banner
319,178,8,2025-06-13,App Notification
320,126,2,2025-03-01,SMS
321,155,1,2025-09-07,Homepage Banner
322,11,3,2025-08-05,App Notification
323,283,1,2025-07-31,Homepage Banner
324,51,3,2025-06-01,Homepage Banner
325,53,5,2025-04-09,App Notification
326,1,1,2025-03-11,SMS
327,270,4,2025-12-21,App Notification
328,22,8,2025-06-12,App Notification
329,62,5,2025-08-15,Homepage Banner
330,216,8,2025-07-30,Email
331,291,4,2025-08-07,App Notification
332,255,3,2025-11-07,App Notification
333,148,4,2025-04-24,SMS
334,3,4,2025-08-18,Email
335,150,2,2025-07-13,Homepage Banner
336,229,2,2025-10-09,Homepage Banner
337,125,4,2025-08-08,App Notification
338,118,4,2025-10-08,Homepage Banner
339,294,8,2025-07-09,Homepage Banner
340,274,7,2025-10-22,App Notification
341,47,5,2025-04-04,SMS
342,117,3,2025-07-22,Email
343,108,5,2025-05-06,Homepage Banner
344,171,1,2025-10-12,App Notification
345,2,7,2025-10-16,Homepage Banner
346,253,2,2025-02-08,Email
347,107,4,2025-07-26,Email
348,144,4,2025-07-23,Homepage Banner
349,207,4,2025-01-19,SMS
350,67,5,2025-12-24,App Notification
351,232,5,2025-05-27,Email
352,49,1,2025-07-12,App Notification
353,199,6,2025-07-04,Homepage Banner
354,282,2,2025-01-07,SMS
355,242,2,2025-12-30,Email
356,75,1,2025-01-30,Homepage Banner
357,134,7,2025-10-27,App Notification
358,200,2,2025-02-13,Homepage Banner
359,108,8,2025-06-14,Email
360,234,3,2025-02-01,App Notification
361,272,4,2025-09-17,Homepage Banner
362,191,7,2025-10-04,Homepage Banner
363,109,6,2025-02-18,App Notification
364,153,4,2025-09-18,App Notification
365,181,7,2025-11-01,App Notification
366,289,2,2025-05-21,SMS
367,22,2,2025-06-26,App Notification
368,71,3,2025-03-29,Homepage Banner
369,24,7,2025-10-24,Email
370,286,4,2025-01-19,SMS
371,119,3,2025-11-04,Email
372,33,5,2025-11-06,App Notification
373,53,4,2025-03-13,Email
374,126,6,2025-05-27,Email
375,57,6,2025-10-01,SMS
376,281,2,2025-06-21,App Notification
377,106,7,2025-10-23,App Notification
378,299,2,2025-11-28,Email
379,177,2,2025-06-17,Email
380,148,1,2025-07-26,Email
381,299,6,2025-10-29,Email
382,131,6,2025-12-28,Homepage Banner
383,94,4,2025-10-02,Homepage Banner
384,255,5,2025-12-18,SMS
385,219,4,2025-01-25,Email
386,284,5,2025-10-30,Email
387,291,4,2025-10-04,App Notification
388,201,2,2025-08-28,Email
389,219,1,2025-04-20,Homepage Banner
390,145,1,2025-03-09,SMS
391,114,3,2025-10-01,Email
392,159,6,2025-08-13,SMS
393,11,3,2025-09-09,Email
394,21,6,2025-03-13,SMS
395,265,5,2025-12-20,App Notification
396,70,4,2025-08-11,Email
397,260,8,2025-06-25,Email
398,32,2,2025-03-18,App Notification
399,196,8,2025-07-11,Homepage Banner
400,34,1,2025-01-07,Homepage Banner
401,279,1,2025-09-30,SMS
402,209,1,2025-07-31,Email
403,2,3,2025-10-13,Email
404,106,8,2025-07-27,App Notification
405,220,3,2025-05-06,Email
406,281,1,2025-07-01,App Notification
407,217,5,2025-01-02,Homepage Banner
408,91,7,2025-10-21,App Notification
409,269,7,2025-10-26,SMS
410,75,8,2025-08-10,App Notification
411,104,6,2025-05-03,App Notification
412,234,4,2025-08-05,SMS
413,142,1,2025-02-02,App Notification
414,204,6,2025-09-08,Homepage Banner
415,152,4,2025-01-15,Homepage Banner
416,118,7,2025-11-12,SMS
417,75,5,2025-06-19,Homepage Banner
418,66,6,2025-10-06,Email
419,69,8,2025-06-20,Homepage Banner
420,252,1,2025-02-15,Email
421,21,8,2025-06-03,App Notification
422,35,4,2025-08-13,Email
423,75,4,2025-08-15,App Notification
424,73,1,2025-03-11,Homepage Banner
425,40,2,2025-08-28,Homepage Banner
426,55,6,2025-09-27,SMS
427,96,5,2025-06-21,Email
428,131,5,2025-07-08,Email
429,97,3,2025-08-15,Email
430,34,2,2025-05-01,Homepage Banner
431,159,1,2025-04-08,Homepage Banner
432,90,4,2025-07-31,SMS
433,153,1,2025-05-10,Homepage Banner
434,237,4,2025-02-04,Homepage Banner
435,182,4,2025-08-06,Email
436,17,2,2025-10-11,SMS
437,260,4,2025-04-19,SMS
438,181,2,2025-01-27,SMS
439,74,1,2025-12-14,Email
440,177,8,2025-06-22,SMS
441,54,6,2025-09-13,Homepage Banner
442,230,2,2025-06-06,App Notification
443,123,4,2025-07-19,App Notification
444,227,6,2025-08-15,SMS
445,49,1,2025-06-08,App Notification
446,184,5,2025-04-17,App Notification
447,191,2,2025-02-10,Email
448,211,5,2025-12-17,App Notification
449,231,1,2025-10-21,SMS
450,277,5,2025-07-17,App Notification
451,110,1,2025-09-21,Homepage Banner
452,53,1,2025-06-16,App Notification
453,151,8,2025-07-03,Homepage Banner
454,70,6,2025-08-22,Email
455,76,7,2025-10-28,Homepage Banner
456,249,3,2025-04-13,Homepage Banner
457,220,8,2025-08-05,Homepage Banner
458,43,7,2025-10-20,SMS
459,138,7,2025-11-14,SMS
460,161,4,2025-05-29,Homepage Banner
461,2,6,2025-05-11,Homepage Banner
462,191,5,2025-12-21,Homepage Banner
463,296,4,2025-10-19,SMS
464,215,2,2025-05-30,SMS
465,106,8,2025-07-12,Email
466,118,5,2025-04-26,SMS
467,295,5,2025-08-20,Email
468,189,7,2025-10-13,SMS
469,184,4,2025-08-31,SMS
470,25,5,2025-05-08,SMS
471,16,6,2025-06-16,Email
472,211,3,2025-04-07,SMS
473,221,5,2025-12-20,Homepage Banner
474,213,3,2025-08-06,SMS
475,171,5,2025-06-12,Homepage Banner
476,250,2,2025-08-14,Homepage Banner
477,31,1,2025-06-20,Homepage Banner
478,269,7,2025-10-02,SMS
479,298,5,2025-10-26,SMS
480,211,5,2025-06-23,App Notification
481,247,7,2025-10-09,App Notification
482,65,4,2025-11-20,Email
483,53,8,2025-07-28,App Notification
484,28,6,2025-08-20,Email
485,22,5,2025-11-27,App Notification
486,147,5,2025-06-25,Email
487,205,4,2025-08-02,SMS
488,61,3,2025-05-16,Email
489,114,5,2025-12-20,App Notification
490,34,4,2025-01-04,Homepage Banner
491,28,5,2025-11-09,Email
492,284,3,2025-04-05,SMS
493,287,3,2025-01-31,Homepage Banner
494,105,2,2025-05-14,Homepage Banner
495,96,7,2025-11-10,App Notification
496,83,3,2025-12-23,SMS
497,1,6,2025-02-22,Homepage Banner
498,201,8,2025-08-28,SMS
499,278,3,2025-04-02,SMS
500,148,2,2025-02-15,Email
501,4,6,2025-01-16,Email
502,12,7,2025-10-26,App Notification
503,129,4,2025-05-11,Homepage Banner
504,170,8,2025-06-03,Email
505,33,3,2025-06-25,App Notification
506,74,3,2025-01-03,Email
507,186,3,2025-05-21,Homepage Banner
508,128,4,2025-07-27,App Notification
509,98,7,2025-11-05,Homepage Banner
510,61,8,2025-06-13,App Notification
511,261,3,2025-01-08,Email
512,90,8,2025-08-28,Email
513,286,8,2025-08-04,Email
514,81,3,2025-07-14,Email
515,134,1,2025-04-16,Homepage Banner
516,2,2,2025-08-18,App Notification
517,245,3,2025-04-08,Email
518,168,6,2025-05-14,Email
519,248,8,2025-07-05,Email
520,84,8,2025-08-24,Homepage Banner
521,184,3,2025-07-08,Email
522,76,4,2025-03-09,Homepage Banner
523,2,2,2025-06-13,App Notification
524,23,4,2025-01-19,Email
525,65,8,2025-07-07,App Notification
526,274,5,2025-09-26,App Notification
527,244,7,2025-10-19,App Notification
528,267,5,2025-10-06,SMS
529,298,2,2025-07-13,Email
530,236,3,2025-10-15,Homepage Banner
531,66,6,2025-10-16,SMS
532,17,6,2025-04-10,Homepage Banner
533,32,8,2025-06-04,SMS
534,41,6,2025-12-05,App Notification
535,199,8,2025-07-17,App Notification
536,26,5,2025-01-04,Homepage Banner
537,250,1,2025-05-04,Homepage Banner
538,161,4,2025-05-20,Email
539,104,8,2025-08-05,SMS
540,285,6,2025-06-12,Email
541,265,5,2025-12-29,Homepage Banner
542,57,6,2025-10-29,Homepage Banner
543,166,2,2025-07-23,Homepage Banner
544,123,4,2025-12-01,Email
545,209,3,2025-06-26,App Notification
546,73,5,2025-03-16,Homepage Banner
547,290,4,2025-01-20,SMS
548,98,8,2025-07-09,Homepage Banner
549,231,6,2025-01-16,SMS
550,31,6,2025-07-11,Email
551,293,2,2025-11-10,Email
552,292,1,2025-06-11,App Notification
553,290,8,2025-07-12,Homepage Banner
554,220,2,2025-09-10,Email
555,297,7,2025-10-05,SMS
556,103,4,2025-10-03,SMS
557,248,7,2025-11-10,Email
558,297,3,2025-04-24,SMS
559,227,4,2025-03-11,Homepage Banner
560,142,1,2025-03-30,Homepage Banner
561,261,5,2025-09-17,Email
562,273,8,2025-07-15,SMS
563,198,2,2025-08-12,App Notification
564,221,6,2025-09-14,Homepage Banner
565,280,5,2025-03-30,App Notification
566,12,7,2025-10-31,SMS
567,14,8,2025-08-10,Homepage Banner
568,54,1,2025-09-03,SMS
569,136,7,2025-10-29,SMS
570,224,6,2025-06-15,Email
571,162,7,2025-11-05,Homepage Banner
572,244,4,2025-03-24,SMS
573,241,1,2025-09-10,Homepage Banner
574,156,6,2025-05-04,SMS
575,100,8,2025-06-27,Email
576,283,1,2025-10-18,Homepage Banner
577,177,2,2025-08-09,App Notification
578,91,1,2025-08-16,SMS
579,157,3,2025-04-09,App Notification
580,140,4,2025-12-26,Email
581,293,2,2025-10-31,SMS
582,234,3,2025-03-07,App Notification
583,125,6,2025-11-12,SMS
584,59,5,2025-05-20,Homepage Banner
585,295,5,2025-11-25,Homepage Banner
586,215,5,2025-04-05,App Notification
587,251,6,2025-03-06,Email
588,49,5,2025-05-10,Homepage Banner
589,246,6,2025-03-13,Email
590,73,2,2025-04-25,Homepage Banner
591,132,2,2025-02-01,SMS
592,282,4,2025-11-22,Email
593,51,7,2025-11-05,App Notification
594,59,1,2025-10-23,Email
595,9,7,2025-10-04,SMS
596,284,4,2025-05-25,Homepage Banner
597,159,1,2025-04-08,Homepage Banner
598,123,7,2025-10-03,Email
599,261,3,2025-12-27,Email
600,228,4,2025-07-03,SMS
601,151,5,2025-06-30,Email
602,12,3,2025-12-11,Homepage Banner
603,296,1,2025-12-13,Email
604,132,1,2025-11-20,Email
605,39,5,2025-06-26,Homepage Banner
606,259,5,2025-11-21,Email
607,148,2,2025-01-24,Email
608,246,5,2025-02-01,Homepage Banner
609,53,3,2025-03-04,App Notification
610,184,1,2025-07-10,Homepage Banner
611,272,2,2025-04-18,Homepage Banner
612,254,8,2025-06-28,Email
613,142,3,2025-03-30,App Notification
614,79,1,2025-07-23,Homepage Banner
615,132,5,2025-04-03,Homepage Banner
616,259,3,2025-03-22,SMS
617,61,2,2025-12-09,SMS
618,109,8,2025-07-26,Email
619,100,1,2025-01-08,App Notification
620,284,3,2025-10-27,Email
621,71,8,2025-08-20,App Notification
622,102,7,2025-11-13,Email
623,46,8,2025-08-26,App Notification
624,61,7,2025-10-09,Email
625,129,8,2025-08-19,Homepage Banner
626,245,7,2025-10-22,Email
627,37,8,2025-07-16,SMS
628,29,5,2025-04-30,SMS
629,280,8,2025-08-04,Homepage Banner
630,275,2,2025-04-01,Email
631,125,6,2025-01-06,SMS
632,223,5,2025-12-21,App Notification
633,158,3,2025-12-30,SMS
634,174,4,2025-08-01,Email
635,143,1,2025-07-24,App Notification
636,71,8,2025-07-07,Homepage Banner
637,270,7,2025-11-13,App Notification
638,265,8,2025-08-04,App Notification
639,99,8,2025-08-07,SMS
640,286,7,2025-10-12,Email
641,298,7,2025-10-14,Email
642,100,6,2025-08-15,SMS
643,272,2,2025-06-24,SMS
644,262,8,2025-07-02,Email
645,89,5,2025-11-13,App Notification
646,62,5,2025-11-20,Email
647,100,2,2025-11-15,SMS
648,267,2,2025-06-10,SMS
649,49,6,2025-09-05,SMS
650,252,3,2025-06-19,Homepage Banner
651,80,4,2025-12-26,Homepage Banner
652,33,8,2025-06-13,Email
653,36,8,2025-07-22,App Notification
654,283,6,2025-07-06,SMS
655,56,5,2025-08-22,SMS
656,55,7,2025-10-28,Email
657,57,7,2025-10-03,Homepage Banner
658,280,2,2025-03-13,App Notification
659,218,7,2025-10-13,Homepage Banner
660,182,3,2025-06-21,SMS
661,57,7,2025-10-08,Email
662,66,7,2025-10-24,Homepage Banner
663,294,8,2025-08-03,SMS
664,12,3,2025-07-23,SMS
665,17,1,2025-04-02,Homepage Banner
666,160,1,2025-02-05,Homepage Banner
667,240,8,2025-08-28,Email
668,185,3,2025-10-02,SMS
669,46,2,2025-10-01,Homepage Banner
670,71,5,2025-01-11,SMS
671,39,6,2025-02-26,Homepage Banner
672,76,7,2025-11-05,Homepage Banner
673,174,7,2025-10-03,App Notification
674,191,1,2025-08-27,Email
675,93,5,2025-03-04,Homepage Banner
676,291,7,2025-10-04,App Notification
677,147,4,2025-04-26,Email
678,85,5,2025-05-25,SMS
679,116,6,2025-08-01,Homepage Banner
680,56,2,2025-07-07,Homepage Banner
681,121,3,2025-03-23,Homepage Banner
682,93,7,2025-10-26,SMS
683,128,6,2025-06-04,Homepage Banner
684,19,7,2025-10-12,Homepage Banner
685,152,5,2025-11-04,SMS
686,216,4,2025-03-01,SMS
687,248,5,2025-01-02,App Notification
688,236,4,2025-08-17,Email
689,296,6,2025-06-10,SMS
690,213,3,2025-09-18,App Notification
691,189,6,2025-09-21,Homepage Banner
692,266,1,2025-10-21,App Notification
693,100,8,2025-06-24,SMS
694,295,1,2025-01-26,Email
695,254,6,2025-11-21,Homepage Banner
696,171,4,2025-09-27,SMS
697,192,7,2025-10-17,App Notification
698,19,5,2025-03-18,App Notification
699,223,1,2025-07-10,App Notification
700,300,7,2025-11-11,Homepage Banner
701,279,3,2025-06-05,Homepage Banner
702,179,7,2025-10-04,Homepage Banner
703,54,4,2025-03-04,App Notification
704,191,4,2025-03-02,SMS
705,143,1,2025-08-01,Homepage Banner
706,203,3,2025-05-06,Email
707,273,5,2025-09-21,Homepage Banner
708,162,7,2025-10-23,Email
709,28,5,2025-03-10,SMS
710,46,5,2025-04-23,SMS
711,267,4,2025-03-24,Email
712,202,1,2025-12-02,Email
713,138,8,2025-07-31,App Notification
714,281,5,2025-08-16,Homepage Banner
715,181,4,2025-09-07,Email
716,68,3,2025-03-13,Email
717,130,8,2025-06-30,Email
718,98,8,2025-06-14,Email
719,108,8,2025-08-20,Homepage Banner
720,279,6,2025-09-21,Email
721,110,4,2025-02-16,Email
722,93,4,2025-10-02,Homepage Banner
723,187,8,2025-06-20,App Notification
724,106,2,2025-04-23,Email
725,121,1,2025-07-25,Email
726,262,6,2025-02-22,App Notification
727,92,7,2025-10-21,Homepage Banner
728,72,8,2025-08-30,Homepage Banner
729,242,5,2025-06-02,Homepage Banner
730,99,7,2025-10-30,SMS
731,30,5,2025-07-30,Email
732,239,6,2025-11-10,Homepage Banner
733,81,4,2025-08-08,Homepage Banner
734,186,5,2025-01-21,App Notification
735,232,7,2025-10-29,SMS
736,6,4,2025-11-08,Email
737,66,7,2025-11-13,SMS
738,188,5,2025-06-01,SMS
739,148,4,2025-06-28,SMS
740,1,4,2025-08-01,Homepage Banner
741,42,3,2025-01-31,SMS
742,144,3,2025-11-06,App Notification
743,39,5,2025-08-28,SMS
744,78,6,2025-02-20,Homepage Banner
745,262,5,2025-02-14,SMS
746,266,7,2025-10-17,Homepage Banner
747,176,6,2025-02-14,Homepage Banner
748,3,1,2025-11-25,SMS
749,283,7,2025-10-27,Homepage Banner
750,131,5,2025-09-11,App Notification
751,24,2,2025-02-24,Homepage Banner
752,158,2,2025-05-16,Homepage Banner
753,258,1,2025-03-22,SMS
754,269,6,2025-01-16,SMS
755,148,5,2025-02-04,App Notification
756,126,2,2025-12-14,App Notification
757,132,6,2025-09-11,Email
758,166,3,2025-12-16,Homepage Banner
759,195,1,2025-03-20,App Notification
760,291,7,2025-11-05,Email
761,31,3,2025-07-15,SMS
762,151,1,2025-02-21,Homepage Banner
763,197,8,2025-07-15,Email
764,126,2,2025-07-27,SMS
765,63,3,2025-11-17,SMS
766,293,3,2025-03-22,Homepage Banner
767,59,5,2025-05-28,App Notification
768,94,7,2025-10-16,SMS
769,106,7,2025-10-14,Homepage Banner
770,193,1,2025-08-06,App Notification
771,254,5,2025-10-26,Email
772,233,1,2025-04-17,Email
